date,open,high,low,close,volume,average,barCount
2025-05-12 11:15:00-04:00,422.36,422.38,421.54,422.07,18230.0,421.894,144
2025-05-12 11:30:00-04:00,422.04,422.37,421.55,421.61,25372.0,421.933,142
2025-05-12 11:45:00-04:00,421.6,421.67,421.14,421.21,30861.0,421.408,190
2025-05-12 12:00:00-04:00,421.19,421.8,421.09,421.62,41200.0,421.483,142
2025-05-12 12:15:00-04:00,421.6,422.21,421.4,421.77,12615.0,421.822,77
2025-05-12 12:30:00-04:00,421.82,422.44,421.79,422.4,6452.0,422.168,46
2025-05-12 12:45:00-04:00,422.41,422.97,422.31,422.88,51036.0,422.74,221
2025-05-12 13:00:00-04:00,422.95,423.81,422.91,423.47,29433.0,423.498,207
2025-05-12 13:15:00-04:00,423.5,423.5,422.94,423.2,34306.0,423.159,186
2025-05-12 13:30:00-04:00,423.27,423.41,423.02,423.33,27111.0,423.213,116
2025-05-12 13:45:00-04:00,423.3,423.55,423.21,423.21,32998.0,423.452,159
2025-05-12 14:00:00-04:00,423.16,423.72,423.16,423.41,29155.0,423.509,160
2025-05-12 14:15:00-04:00,423.45,423.92,423.39,423.72,68139.0,423.706,326
2025-05-12 14:30:00-04:00,423.82,424.24,423.82,423.99,30384.0,424.024,141
2025-05-12 14:45:00-04:00,423.97,424.08,423.52,423.64,43276.0,423.73,184
2025-05-12 15:00:00-04:00,423.54,423.98,423.4,423.53,24145.0,423.734,123
2025-05-12 15:15:00-04:00,423.5,423.85,423.39,423.5,28821.0,423.642,135
2025-05-12 15:30:00-04:00,423.44,423.81,423.16,423.22,47799.0,423.533,257
2025-05-12 15:45:00-04:00,423.22,424.3,422.96,424.16,355084.0,423.893,1813
2025-05-13 09:30:00-04:00,422.68,423.2,422.11,422.73,277684.0,422.619,1727
2025-05-13 09:45:00-04:00,422.78,422.96,422.28,422.79,90399.0,422.576,597
2025-05-13 10:00:00-04:00,422.91,423.61,422.45,423.61,76330.0,422.96,455
2025-05-13 10:15:00-04:00,423.59,423.99,422.95,422.97,75882.0,423.422,436
2025-05-13 10:30:00-04:00,423.0,423.23,422.48,422.49,38402.0,422.919,204
2025-05-13 10:45:00-04:00,422.49,422.85,422.3,422.49,60667.0,422.559,337
2025-05-13 11:00:00-04:00,422.53,422.67,422.33,422.4,32655.0,422.516,184
